well,ploidy,line,time,environment,od
E6,2,1,evol,ethanol,0.792
F6,2,1,evol,ethanol,0.945
G6,2,1,evol,ethanol,0.941
H6,2,1,evol,ethanol,1.009
A7,2,2,anc,ethanol,0.994
B7,2,2,anc,ethanol,1.072
C7,2,2,anc,ethanol,1.101
D7,2,2,anc,ethanol,1.051
E7,2,3,evol,ethanol,0.86
F7,2,3,evol,ethanol,0.961
G7,2,3,evol,ethanol,0.923
H7,2,3,evol,ethanol,0.991
A8,2,1,anc,ethanol,1.014
B8,2,1,anc,ethanol,1.037
C8,2,1,anc,ethanol,1.093
D8,2,1,anc,ethanol,1.102
E8,2,4,anc,ethanol,0.967
F8,2,4,anc,ethanol,1.015
G8,2,4,anc,ethanol,0.951
H8,2,4,anc,ethanol,1.071
A9,1,3,evol,ethanol,1.051
B9,1,3,evol,ethanol,1.133
C9,1,3,evol,ethanol,1.109
D9,1,3,evol,ethanol,1.16
E9,2,3,anc,ethanol,1.025
F9,2,3,anc,ethanol,1.083
G9,2,3,anc,ethanol,1.04
H9,2,3,anc,ethanol,1.075
A10,2,2,evol,ethanol,0.795
B10,2,2,evol,ethanol,0.839
C10,2,2,evol,ethanol,0.93
D10,2,2,evol,ethanol,0.959
E10,1,5,evol,ethanol,1.072
F10,1,5,evol,ethanol,1.058
G10,1,5,evol,ethanol,1.104
H10,1,5,evol,ethanol,1.149
A11,1,1,evol,ethanol,1.065
B11,1,1,evol,ethanol,0.93
C11,1,1,evol,ethanol,1.126
D11,1,1,evol,ethanol,1.063
E11,1,5,anc,ethanol,1.068
F11,1,5,anc,ethanol,1.142
G11,1,5,anc,ethanol,1.095
H11,1,5,anc,ethanol,
